#    Ry          X        fwhmx    peakx      Y        fwhmy   peaky
0.33626625 751 139 94451 844 84 147769
0.3363615 742 153 87717 844 85 148532
0.33645675 954 139 74628 838 85 116547
0.336552 779 162 76666 842 83 138998
0.33664725 769 143 88766 844 84 142704
0.3367425 798 138 85060 844 84 133406
0.33683775 818 139 82100 842 84 128824
0.336933 828 140 80065 843 85 125720
0.33702825 838 140 77774 842 85 122247
0.3371235 857 140 75112 844 86 118172
0.33721875 883 141 73167 842 85 115469
0.337695 1013 133 86536 842 84 132064
0.33817125 1259 132 135383 852 82 209216
0.3386475 1465 125 148084 856 81 223251
0.33912375 1662 121 168640 858 80 249356
0.3396 1841 120 186146 860 80 275337
0.34007625 1938 122 188830 862 79 283842
0.3405525 2155 125 214795 862 79 336088
0.34102875 2367 130 232480 866 80 372047
0.341505 2587 135 235222 870 80 382585
0.34198125 2757 140 228061 870 81 377854
0.3424575 2872 142 230373 874 80 384130
0.34293375 3050 115 228673 872 80 294407
0.343029 3083 85 229738 872 80 226637
0.34255275 2991 146 228510 874 80 369719
0.3420765 2833 140 230269 872 80 382081
0.34160025 2706 139 229527 870 80 379764
0.341124 2507 132 233566 866 79 379293
0.34064775 2315 132 228623 864 78 370861
0.3401715 2091 125 205182 862 79 319205
0.33969525 1979 125 189266 860 79 289828
0.339219 1880 122 185759 858 80 278676
0.33874275 1684 124 167440 858 80 253036
0.3382665 1509 124 152500 854 81 228777
0.33779025 1349 130 138182 850 82 212096
0.337314 1181 129 136550 850 82 207485
0.33683775 1033 132 94040 842 83 144948
0.3363615 866 144 74560 838 84 120478
0.33588525 783 142 86789 840 84 139510
0.335409 657 147 111292 840 85 181922
0.33493275 475 167 130341 840 86 232924
0.3344565 297 147 151858 838 88 238931
0.33398025 126 147 146670 836 88 221270
0.333885 54 126 145224 836 88 181323
0.33378975 34 106 145573 838 87 159843
0.3336945 20 92 145820 836 87 141712
